2605,9,0,9
2606,9,0,9
2640,7,1,9
2642,5,2,9
266a,6,1,9
266d,5,2,9
266f,8,0,9
3000,0,9,9
3001,2,0,9
3002,4,0,9
3003,6,1,9
3005,9,0,9
3006,9,0,9
3007,9,0,9
3008,5,3,9
3009,5,1,9
300a,7,1,9
300b,7,1,9
300c,4,4,9
300d,4,1,9
300e,4,4,9
300f,4,1,9
3010,3,5,9
3011,3,1,9
3012,9,0,9
3013,9,0,9
3014,3,5,9
3015,3,1,9
301d,5,4,9
301f,5,0,9
3041,8,0,9
3042,9,0,9
3043,7,1,9
3044,9,0,9
3045,7,1,9
3046,8,0,9
3047,7,1,9
3048,9,0,9
3049,9,0,9
304a,9,0,9
304b,9,0,9
304c,9,0,9
304d,9,0,9
304e,9,0,9
304f,7,1,9
3050,9,0,9
3051,9,0,9
3052,9,0,9
3053,8,0,9
3054,9,0,9
3055,8,0,9
3056,9,0,9
3057,7,1,9
3058,7,1,9
3059,9,0,9
305a,9,0,9
305b,9,0,9
305c,9,0,9
305d,9,0,9
305e,9,0,9
305f,8,0,9
3060,9,0,9
3061,8,0,9
3062,9,0,9
3063,8,0,9
3064,9,0,9
3065,9,0,9
3066,9,0,9
3067,9,0,9
3068,8,0,9
3069,9,0,9
306a,9,0,9
306b,9,0,9
306c,9,0,9
306d,9,0,9
306e,9,0,9
306f,9,0,9
3070,9,0,9
3071,9,0,9
3072,9,0,9
3073,9,0,9
3074,9,0,9
3075,9,0,9
3076,9,0,9
3077,9,0,9
3078,9,0,9
3079,9,0,9
307a,9,0,9
307b,9,0,9
307c,9,0,9
307d,9,0,9
307e,9,0,9
307f,9,0,9
3080,9,0,9
3081,9,0,9
3082,8,0,9
3083,8,0,9
3084,9,0,9
3085,8,0,9
3086,9,0,9
3087,8,0,9
3088,8,0,9
3089,8,0,9
308a,7,1,9
308b,9,0,9
308c,9,0,9
308d,9,0,9
308e,8,0,9
308f,9,0,9
3090,9,0,9
3091,9,0,9
3092,9,0,9
3093,9,0,9
309b,4,0,9
309c,3,0,9
309d,5,2,9
309e,6,1,9
30a1,8,0,9
30a2,8,0,9
30a3,7,0,9
30a4,7,0,9
30a5,7,1,9
30a6,8,0,9
30a7,7,1,9
30a8,9,0,9
30a9,7,1,9
30aa,9,0,9
30ab,9,0,9
30ac,9,0,9
30ad,8,0,9
30ae,9,0,9
30af,8,0,9
30b0,9,0,9
30b1,9,0,9
30b2,9,0,9
30b3,8,0,9
30b4,9,0,9
30b5,9,0,9
30b6,9,0,9
30b7,8,0,9
30b8,9,0,9
30b9,9,0,9
30ba,9,0,9
30bb,9,0,9
30bc,9,0,9
30bd,9,0,9
30be,9,0,9
30bf,9,0,9
30c0,9,0,9
30c1,9,0,9
30c2,9,0,9
30c3,8,0,9
30c4,9,0,9
30c5,9,0,9
30c6,9,0,9
30c7,9,0,9
30c8,6,2,9
30c9,7,2,9
30ca,9,0,9
30cb,8,0,9
30cc,8,0,9
30cd,9,0,9
30ce,7,0,9
30cf,9,0,9
30d0,9,0,9
30d1,9,0,9
30d2,8,1,9
30d3,8,1,9
30d4,8,1,9
30d5,8,0,9
30d6,9,0,9
30d7,9,0,9
30d8,9,0,9
30d9,9,0,9
30da,9,0,9
30db,9,0,9
30dc,9,0,9
